step,epoch,task_id,action,reward,avg_reward
79,2,hard_gdpr_001,flag_security,0.2587,0.2158
80,2,hard_gdpr_001,search_kb,0.1420,0.2147
81,2,hard_gdpr_001,escalate,0.2492,0.2208
82,2,hard_gdpr_001,resolve,0.1775,0.2220
83,3,easy_refund_001,lookup_order,0.3040,0.2248
84,3,easy_refund_001,check_account,0.2972,0.2200
85,3,easy_refund_001,process_refund,0.3147,0.2286
86,3,easy_refund_001,resolve,0.7640,0.2592
87,3,easy_password_001,check_account,0.2984,0.2652
88,3,easy_password_001,search_kb,0.3065,0.2733
89,3,easy_password_001,send_response,0.2806,0.2635
90,3,easy_password_001,resolve,0.7330,0.2936
91,3,easy_cancel_001,check_account,0.2907,0.2962
92,3,easy_cancel_001,search_kb,0.2824,0.2975
93,3,easy_cancel_001,send_response,0.3272,0.3062
94,3,easy_cancel_001,resolve,0.7954,0.3379
95,3,easy_delivery_001,lookup_order,0.2971,0.3455
96,3,easy_delivery_001,send_response,0.3289,0.3553
97,3,easy_delivery_001,resolve,0.7755,0.3673
98,3,easy_update_001,search_kb,0.2963,0.3760
99,3,easy_update_001,send_response,0.2653,0.3763
100,3,easy_update_001,resolve,0.7752,0.4080
101,3,med_chargeback_001,lookup_order,0.3023,0.4106
102,3,med_chargeback_001,check_account,0.2536,0.4144
103,3,med_chargeback_001,search_kb,0.2997,0.4142
104,3,med_chargeback_001,escalate,0.3950,0.4191
105,3,med_chargeback_001,resolve,0.5468,0.4307
106,3,med_partial_refund_001,lookup_order,0.2766,0.4063
107,3,med_partial_refund_001,check_account,0.3284,0.4078
108,3,med_partial_refund_001,search_kb,0.3207,0.4085
109,3,med_partial_refund_001,process_refund,0.3247,0.4107
110,3,med_partial_refund_001,resolve,0.6515,0.4067
111,3,hard_fraud_001,check_account,0.3118,0.4077
112,3,hard_fraud_001,flag_security,0.4155,0.4144
113,3,hard_fraud_001,escalate,0.3783,0.4169
114,3,hard_fraud_001,resolve,0.2488,0.3896
115,3,hard_abuse_001,check_account,0.2736,0.3884
116,3,hard_abuse_001,search_kb,0.2685,0.3854
117,3,hard_abuse_001,send_response,0.2346,0.3584
118,3,hard_abuse_001,resolve,0.6981,0.3785
119,3,hard_gdpr_001,check_account,0.2947,0.3799
120,3,hard_gdpr_001,flag_security,0.4326,0.3628
121,3,hard_gdpr_001,search_kb,0.2733,0.3613
122,3,hard_gdpr_001,escalate,0.4061,0.3690
123,3,hard_gdpr_001,resolve,0.2741,0.3677
